1  -  Hand Grenade
2  -  Incendiary Grenade
3  -  Matilda
4  -  Handgun Ammo
5  -  First Aid Spray
6  -  Green Herb
7  -  Rifle Ammo
8  -  Chicken Egg
9  -  Brown Chicken Egg
10 -  Gold Chicken Egg
11 -  aaa
12 -  Plaga Sample
13 -  Krauser's Knife
14 -  Flash Grenade
15 -  Salazar Family Insignia
16 -  Bowgun
17 -  Bowgun Bolts
18 -  Green Herb x2
19 -  Green Herb x3
20 -  Mixed Herbs (G+R)
21 -  Mixed Herbs (G+R+Y)
22 -  Mixed Herbs (G+Y)
23 -  Rocket Launcher (Special)
24 -  Shotgun Shells
25 -  Red Herb
26 -  Handcannon Ammo
27 -  Hourglass w/ gold decor
28 -  Yellow Herb
29 -  Stone Tablet
30 -  Lion Ornament
31 -  Goat Ornament
32 -  TMP Ammo
33 -  Punisher
34 -  Punisher w/ Silencer
35 -  Handgun
36 -  Handgun w/ Silencer
37 -  Red9
38 -  Red9 w/ Stock
39 -  Blacktail
40 -  Blacktail w/ Silencer
41 -  Broken Butterfly
42 -  Killert7
43 -  Killert7 w/ Silencer
44 -  Shotgun
45 -  Striker
46 -  Rifle
47 -  Rifle (semi-auto)
48 -  TMP
49 -  Aktivation key (blue)
50 -  TMP w/ Stock
51 -  Activation Key (red)
52 -  Chicago Typewriter
53 -  Rocket Launcher
54 -  Mine Thrower
55 -  Handcannon
56 -  Combat Knife
57 -  Serpent Ornament
58 -  Moonstone (Right Half)
59 -  Insignia Key
60 -  Round Insignia
61 -  False Eye
62 -  Custom TMP
63 -  Silencer (Hundgun)
64 -  Punisher
65 -  P.R.L. 412
66 -  Stock (Red9)
67 -  Stock (TMP)
68 -  Scope (Rifle)
69 -  Scope (semi-auto rifle)
70 -  Mine-Darts
71 -  Shotgun
72 -  Capture Luis Sera
73 -  Target Practice
74 -  Luis' Memo
75 -  Castellan Memo
76 -  Female Intruder
77 -  Butler's Memo
78 -  Sample Retrieved
79 -  Ritual Preparation
80 -  Luis' Memo 2
81 -  Rifle (semi-auto) w/ Infrared Scope
82 -  Krauser's Bow
83 -  Chicago Typewriter
